,stock,investment_score,cagr,bull_run,bear_run
3,Bajaj Auto Ltd (BAJA),0.77,38.46778280506098,2,0
4,Bajaj Finance Ltd (BJFN),0.7288750935341378,29.14896790695809,18,1
7,Bharti Airtel Ltd. (BRTI),0.6400256225565877,16.15844006400906,20,0
2,Axis Bank Ltd (AXBK),0.6151526964982675,13.988375543966391,20,0
13,JSW Steel Ltd (JSTL),0.5950640743382195,11.673490379653838,20,0
22,State Bank Of India (SBI),0.5763355646571434,11.258409435773897,20,0
26,Titan Company Ltd (TITN),0.5729634221938896,16.128009455387016,11,0
21,Reliance Industries Ltd (RELI),0.527370020892536,14.671870421114708,6,0
8,HDFC Bank Ltd (HDBK),0.43944422448193604,12.266929884106336,12,1
0,Adani Enterprises Ltd (ADEL),0.373041193792388,12.287209447763804,17,3
19,Oil And Natural Gas Corporation Ltd (ONGC),0.3133459049993984,11.797752225446079,0,1
1,Adani Ports and Special Economic Zone Ltd (APSE),,7.052479199161477,14,1
5,Bajaj Finserv Ltd (BJFS),,16.800713109077027,12,1
6,Bharat Electronics Ltd (BAJE),,17.198925107424667,19,1
9,Hindustan Aeronautics Ltd (HIAE),,1.6442215775653635,2,2
10,Hindustan Unilever Ltd. (HLL),,9.170223811460732,9,0
11,ICICI Bank Ltd (ICBK),,9.501679249778094,18,2
12,Infosys Ltd (INFY),,4.749402799822611,17,3
14,Larsen & Toubro Ltd (LART),,14.883244967072407,15,2
15,Life Insurance Corporation Of India (LIFI),,3.112280099119169,3,1
16,Mahindra & Mahindra Ltd. (MAHM),,11.951440093163711,18,2
17,Maruti Suzuki India Ltd. (MRTI),,0.8843440169525207,3,0
18,NTPC Ltd (NTPC),,4.0122365436739305,4,3
20,Power Grid Corporation of India Ltd (PGRD),,2.089506146209863,13,2
23,Sun Pharmaceutical Industries Ltd. (SUN),,17.267942947318883,20,0
24,Tata Consultancy Services Ltd. (TCS),,11.42389501200638,5,1
25,Tata Motors Passenger Vehicles Ltd (TAMO),,11.193964441728198,0,2
27,UltraTech Cement Ltd (ULTC),,4.502775374516532,3,0
